"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","euftf","gincdif","lrscale","polintr","stflife","trstplc","vote","imueclt","atchctr","atcherp","crmvct","pray","rlgdgr","gndr","age"
"ESS3e03_7",3,"3.7","01.12.2018",3,"AT",1.2429,0.94957787,0.28911608,5,2,88,3,8,8,1,5,,,2,6,3,2,27.5
"ESS3e03_7",3,"3.7","01.12.2018",6,"AT",0.8286,1.4121802,0.28911608,5,2,3,3,5,7,1,10,,,2,2,9,1,33.33
"ESS3e03_7",3,"3.7","01.12.2018",8,"AT",0.8286,0.72327614,0.28911608,6,2,5,3,8,7,1,7,,,2,5,6,1,53.25
"ESS3e03_7",3,"3.7","01.12.2018",9,"AT",1.2429,0.62574375,0.28911608,6,1,5,3,10,2,1,10,,,2,4,5,2,40.17
"ESS3e03_7",3,"3.7","01.12.2018",11,"AT",0.8286,0.41716248,0.28911608,0,1,6,2,9,8,1,5,,,2,6,7,2,36.42
"ESS3e03_7",3,"3.7","01.12.2018",12,"AT",1.6572,3.788721,0.28911608,9,2,88,3,10,9,1,4,,,2,1,6,2,77.33
"ESS3e03_7",3,"3.7","01.12.2018",14,"AT",0.4143,0.35225528,0.28911608,77,7,9,7,77,77,7,77,,,2,7,1,1,20.08
"ESS3e03_7",3,"3.7","01.12.2018",15,"AT",1.6572,0.83432496,0.28911608,0,1,0,3,5,3,1,6,,,1,1,4,2,50.83
"ESS3e03_7",3,"3.7","01.12.2018",17,"AT",0.8286,0.41716248,0.28911608,6,1,3,3,3,10,1,7,,,2,2,8,2,49.5
"ESS3e03_7",3,"3.7","01.12.2018",18,"AT",0.8286,1.8943605,0.28911608,5,1,4,3,7,8,1,4,,,2,1,10,2,86
"ESS3e03_7",3,"3.7","01.12.2018",20,"AT",0.4143,0.36163807,0.28911608,5,4,3,1,8,7,1,8,,,2,1,10,1,52.33
"ESS3e03_7",3,"3.7","01.12.2018",21,"AT",1.2429,2.0950758,0.28911608,6,4,88,4,8,9,1,6,,,2,3,7,2,52.5
"ESS3e03_7",3,"3.7","01.12.2018",23,"AT",0.4143,0.3517664,0.28911608,1,1,5,1,7,8,1,8,,,2,88,8,1,45.33
"ESS3e03_7",3,"3.7","01.12.2018",24,"AT",0.8286,0.63305193,0.28911608,2,2,7,4,9,10,1,88,,,2,88,2,2,24.92
"ESS3e03_7",3,"3.7","01.12.2018",27,"AT",1.2429,0.94957787,0.28911608,7,2,88,2,7,9,1,6,,,2,6,8,2,22.25
"ESS3e03_7",3,"3.7","01.12.2018",32,"AT",0.8286,1.8943605,0.28911608,2,3,88,3,7,7,1,7,,,2,1,77,2,57.92
"ESS3e03_7",3,"3.7","01.12.2018",35,"AT",1.6572,1.4465523,0.28911608,0,1,3,2,2,3,1,2,,,2,7,2,1,53.17
"ESS3e03_7",3,"3.7","01.12.2018",38,"AT",0.4143,0.6379201,0.28911608,1,1,5,2,2,7,1,1,,,2,1,8,1,77.58
"ESS3e03_7",3,"3.7","01.12.2018",41,"AT",1.2429,1.0849142,0.28911608,6,1,5,1,9,10,1,10,,,2,88,5,1,45.58
"ESS3e03_7",3,"3.7","01.12.2018",42,"AT",0.8286,1.2758402,0.28911608,1,1,7,4,5,8,1,5,,,2,88,6,1,84.08
